,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
320,@FoxNews,OPINION: Did Facebook’s ‘favors’ for the Obama campaign constitute a violation of federal law?  https://t.co/guRc6TqvVn,Mon Mar 26 21:26:51 +0000 2018,-0.4939,0.0,0.802,0.198,20
321,@FoxNews,"#Trump orders expulsion of dozens of Russian diplomats, closure of consulate in Seattle https://t.co/Bo2ib1Flw3",Mon Mar 26 21:18:00 +0000 2018,0.0,0.0,1.0,0.0,21
322,@FoxNews,'Beginning of the end?' No new babies for endangered whales https://t.co/E4EQ0gAdbM,Mon Mar 26 21:11:09 +0000 2018,-0.296,0.0,0.82,0.18,22
323,@FoxNews,A 380-lb girl with a genetic disorder that causes constant hunger crowned a pageant queen https://t.co/UtG7t931kX,Mon Mar 26 21:01:05 +0000 2018,-0.5719,0.0,0.701,0.299,23
324,@FoxNews,King Tutankhamun bombshell? Mysterious pharaoh may have been a boy soldier https://t.co/hTRJjegalo,Mon Mar 26 20:48:00 +0000 2018,0.0,0.0,1.0,0.0,24
325,@FoxNews,"""Everything that could go wrong was shutting down inside of me.”

Rocker Alice Cooper, who saw his good friends and… https://t.co/zPLO569jKF",Mon Mar 26 20:35:00 +0000 2018,0.4404,0.221,0.664,0.114,25
326,@FoxNews,"Orlando nightclub shooter's father, an FBI informant, brushed off son's terror comments, agent says https://t.co/m1HPaD9ZCd",Mon Mar 26 20:31:21 +0000 2018,-0.5267,0.0,0.805,0.195,26
327,@FoxNews,Houthi rebels' rocket attack on Saudi Arabia kills 1 as Yemen war hits year three (via @christocarbone) https://t.co/Fu6osTv568,Mon Mar 26 20:22:00 +0000 2018,-0.9062,0.0,0.514,0.486,27
328,@FoxNews,RT @FoxBusiness: At the close: The markets surged after China said it's open to trade talks with the U.S. The three major averages saw bigg…,Mon Mar 26 20:12:45 +0000 2018,0.0,0.0,1.0,0.0,28
329,@FoxNews,"Netanyahu, wife, son questioned by police in corruption case https://t.co/oZyoJAmlbE",Mon Mar 26 19:59:00 +0000 2018,-0.1027,0.0,0.865,0.135,29
330,@FoxNews,"'13 Prosecutors, 30 FBI Agents': @Judgenap Says #Trump Must Take Mueller Probe Seriously https://t.co/rnBgaomvAV",Mon Mar 26 19:48:00 +0000 2018,-0.1779,0.0,0.884,0.116,30
331,@FoxNews,"White House: Stormy Daniels is 'inconsistent,' Trump doesn't believe her claims are 'accurate' - via @brookefoxnews 
https://t.co/ueX4gGk6Gp",Mon Mar 26 19:36:46 +0000 2018,0.0,0.0,1.0,0.0,31
332,@FoxNews,"Father, son killed in collapse inside silo at Wisconsin farm https://t.co/s4Vd4KkuD6",Mon Mar 26 19:31:34 +0000 2018,-0.8271,0.0,0.539,0.461,32
333,@FoxNews,RT @FoxBusiness: Microsoft will be worth $1T within year: Morgan Stanley https://t.co/8f6P3uKTW4,Mon Mar 26 19:09:39 +0000 2018,0.2263,0.147,0.853,0.0,33
334,@FoxNews,"OPINION: Trump vs. Biden in 2020? Hey, 'Crazy' Joe -- be careful what you wish for https://t.co/hkm4rkqxXP",Mon Mar 26 18:57:00 +0000 2018,0.5106,0.223,0.777,0.0,34
335,@FoxNews,Republicans push to end Dems' stranglehold on key ambassadorial nominee https://t.co/SGqegJ1YAh,Mon Mar 26 18:43:23 +0000 2018,0.0,0.0,1.0,0.0,35
336,@FoxNews,".@RajShah45: “The president is a strong believer in the Second Amendment, but he does believe other measures could… https://t.co/ip6pqN9Z3R",Mon Mar 26 18:31:46 +0000 2018,0.2846,0.112,0.888,0.0,36
337,@FoxNews,".@RajShah45: “We want to work with Russia, but this type of an action cannot be tolerated. The United States is res… https://t.co/ALzaxnXRyO",Mon Mar 26 18:26:03 +0000 2018,0.5927,0.195,0.805,0.0,37
338,@FoxNews,.@RajShah45: “Today’s actions make the United States safer by reducing Russia’s ability to spy on Americans and to… https://t.co/B3XXVP6LCd,Mon Mar 26 18:16:32 +0000 2018,0.7845,0.331,0.669,0.0,38
339,@FoxNews,.@RajShah45 holds a @WhiteHouse press briefing https://t.co/1rXRX5aTGW,Mon Mar 26 18:10:12 +0000 2018,0.0,0.0,1.0,0.0,39
340,@FoxNews,"'Avengers' star Chris Evans, 'Deadpool's' Ryan Reynolds and more Marvel all-stars help fulfill dying boy's wish https://t.co/sAVdKbH1dj",Mon Mar 26 18:08:37 +0000 2018,0.8923,0.473,0.527,0.0,40
341,@FoxNews,Florida’s year-round daylight saving law raises safety concerns https://t.co/PxjqA4W6l8,Mon Mar 26 18:02:33 +0000 2018,0.4215,0.259,0.741,0.0,41
342,@FoxNews,AWAITING: @WhiteHouse briefing https://t.co/CQub2jcl7M,Mon Mar 26 17:57:09 +0000 2018,0.0,0.0,1.0,0.0,42
343,@FoxNews,"Austin bomber's roommate a 'person of interest' in investigation, McCaul says (via @travfed)  https://t.co/lc7QqLfH0w",Mon Mar 26 17:54:00 +0000 2018,0.4588,0.2,0.8,0.0,43
344,@FoxNews,Mountain lion caught after roaming Southern California neighborhood https://t.co/buQhrsp13X,Mon Mar 26 17:47:03 +0000 2018,0.0,0.0,1.0,0.0,44
345,@FoxNews,".@BobCusack: “I think the message is that America is going to be tough again…When you talk tough, you can negotiate… https://t.co/94RTwaQGcK",Mon Mar 26 17:25:04 +0000 2018,-0.25,0.0,0.864,0.136,45
346,@FoxNews,OPINION: Reagan was the 'Great Communicator' but Trump may be a more powerful one https://t.co/tGppyjeEew,Mon Mar 26 17:20:51 +0000 2018,0.771,0.358,0.642,0.0,46
347,@FoxNews,.@BobCusack: “I think that John Bolton deserves his own team.” #OutnumberedOT https://t.co/lJLiqz0vY8,Mon Mar 26 17:17:03 +0000 2018,0.0,0.0,1.0,0.0,47
348,@FoxNews,Stuart Varney: “President Trump has a consistent style. He negotiates…and that’s exactly what he’s done with China.” https://t.co/NdMNdWI0nu,Mon Mar 26 17:15:38 +0000 2018,0.0,0.0,1.0,0.0,48
349,@FoxNews,Medics taking more active role in active shooter situations https://t.co/yhKTWKpspy,Mon Mar 26 16:59:15 +0000 2018,0.7172,0.428,0.572,0.0,49
350,@FoxNews,"JUST IN: Iowa family found dead in Mexico likely killed by water heater gas leak, official says https://t.co/sM5xsAIsJX",Mon Mar 26 16:40:09 +0000 2018,-0.9042,0.0,0.573,0.427,50
351,@FoxNews,"Beyonce was bitten in the face by unidentified actress, Tiffany Haddish claims https://t.co/KLJb5LkMVi",Mon Mar 26 16:28:29 +0000 2018,0.0,0.0,1.0,0.0,51
352,@FoxNews,".@David_Bossie: “The facts are there was no collusion, there was no cooperation.” #Outnumbered https://t.co/opExoGEcT8",Mon Mar 26 16:18:27 +0000 2018,-0.5267,0.0,0.732,0.268,52
353,@FoxNews,"Orlando nightclub shooter's father was a secret FBI informant, officials reveal https://t.co/4IY9TRv1bj",Mon Mar 26 15:51:09 +0000 2018,0.0,0.0,1.0,0.0,53
354,@FoxNews,RT @FoxBusiness: FTC investigating Facebook over privacy practices https://t.co/h0H1dQPoD2,Mon Mar 26 15:39:25 +0000 2018,0.0,0.0,1.0,0.0,54
355,@FoxNews,Elon Musk says 'lifesize' LEGO-like bricks that could build walls of small house 'in a day or so' on the way https://t.co/xP65KmHx9k,Mon Mar 26 15:34:45 +0000 2018,0.0,0.0,1.0,0.0,55
356,@FoxNews,Lt. Col. Michael Waltz on the expulsion of dozens of Russian diplomats and closure of the Russian consulate in Seat… https://t.co/jBTS0FLr79,Mon Mar 26 15:33:08 +0000 2018,0.0,0.0,1.0,0.0,56
357,@FoxNews,"Former MLB slugger Albert Belle arrested at spring training game in Arizona, report says (via @RyanGaydos) https://t.co/84HxoJHbKW",Mon Mar 26 15:16:19 +0000 2018,-0.4767,0.0,0.838,0.162,57
358,@FoxNews,Gary Sinise talks new initiative for children of fallen vets: 'The cost of freedom is very high' https://t.co/dHhbNT3YQa,Mon Mar 26 15:00:47 +0000 2018,0.4019,0.185,0.705,0.11,58
359,@FoxNews,"Alice Cooper believes his faith saved him from alcoholism, temptations of rock star lifestyle https://t.co/wZXL8EN12r",Mon Mar 26 14:52:16 +0000 2018,0.6808,0.301,0.699,0.0,59
360,@FoxNews,Dem Sen. McCaskill Chides Hillary: 'Show Respect' to Trump Voters https://t.co/39oLrIrtWm,Mon Mar 26 14:40:04 +0000 2018,0.4767,0.237,0.763,0.0,60
361,@FoxNews,Homeless encampment relocation plan has California residents outraged (via @travfed)  https://t.co/jcbir2AOOc,Mon Mar 26 14:30:02 +0000 2018,-0.5423,0.0,0.741,0.259,61
362,@FoxNews,John Sununu: “The president is… trying to reduce trade imbalance by a hundred billion dollars. If he succeeds in th… https://t.co/o3ntqHCEUz,Mon Mar 26 14:25:26 +0000 2018,0.4939,0.144,0.856,0.0,62
363,@FoxNews,Barack Obama Hopes for a 'Million Young Obamas' to Lead 'Human Progress' https://t.co/A9u7oyvOFR https://t.co/GMW3zTPFan,Mon Mar 26 14:08:42 +0000 2018,0.6808,0.337,0.663,0.0,63
364,@FoxNews,"Trump orders expulsion of dozens of Russian diplomats, closure of consulate in Seattle https://t.co/6odgJOzV6t https://t.co/nuWT9ukwKO",Mon Mar 26 14:05:47 +0000 2018,0.0,0.0,1.0,0.0,64
365,@FoxNews,Matthew Schrier is the first American to escape Al Qaeda captivity in Syria. Now he’s speaking out about his claims… https://t.co/iM8azLChxz,Mon Mar 26 14:04:32 +0000 2018,0.1779,0.078,0.922,0.0,65
366,@FoxNews,'Fake news' in Malaysia could land peddlers in prison for a decade https://t.co/u8Z4SyyzCo,Mon Mar 26 13:55:31 +0000 2018,-0.7506,0.0,0.61,0.39,66
